variant,adam_name,lbfgs_name,m,fp32,fp64,fp64_over_fp32_best
width128_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,12,0.08826058357954025,0.0024585988389089816,0.027856136218420733
width128_adam1e4_lbfgs1_steps1000_inner10_resample250,adam1e4,lbfgs1,12,0.013622098602354527,0.0003458913456201884,0.02539192790458898
width128_adam2e4_lbfgs05_steps1000_inner10_resample250,adam2e4,lbfgs05,12,0.044969309121370316,0.0074743191822439084,0.16620933984266978
width128_adam2e4_lbfgs1_steps1000_inner10_resample250,adam2e4,lbfgs1,12,0.05604704096913338,0.005652024866962728,0.10084430452047327
width128_adam5e4_lbfgs05_steps1000_inner10_resample250,adam5e4,lbfgs05,12,0.004136345349252224,0.00016988584081645486,0.04107148375489661
width128_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,12,0.01925165392458439,0.0015403160228110071,0.08000954249671097
width192_adam1e4_lbfgs05_steps1000_inner10_resample250,adam1e4,lbfgs05,10,0.002027308102697134,0.0031373256013443544,1.5475327095918234
width192_adam1e4_lbfgs1_steps1000_inner10_resample250,adam1e4,lbfgs1,10,0.004258337896317244,0.0017293850808818931,0.4061173920410413
width192_adam2e4_lbfgs05_steps1000_inner10_resample250,adam2e4,lbfgs05,10,0.0007430788828060031,0.0017108366338082774,2.3023620686781494
width192_adam2e4_lbfgs1_steps1000_inner10_resample250,adam2e4,lbfgs1,10,0.0010800919262692332,0.0004881865048243448,0.4519860698437025
width192_adam5e4_lbfgs05_steps1000_inner10_resample250,adam5e4,lbfgs05,10,0.0034369314089417458,0.002525884143367726,0.7349242224608326
width192_adam5e4_lbfgs1_steps1000_inner10_resample250,adam5e4,lbfgs1,10,0.0035879830829799175,0.00045458464780399866,0.1266964300808391
