source,task_name,variant,case_name,case_value,best_l2_mean_fp32,best_l2_mean_fp64,count_fp32,count_fp64,elapsed_time_mean_fp32,elapsed_time_mean_fp64,final_l2_mean_fp32,final_l2_mean_fp64,fp64_over_fp32_best,fp64_over_fp32_final,result,fp32_learned,used_in_main,label
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.002,0.0477750860154628,0.0483794210626988,1,1,697.4383900165558,5115.536487817764,0.0506145767867565,0.0509173207038287,1.0126495857493676,1.0059813582626145,similar,True,True,burgers1d nu=0.002 | burgers_long_lbfgs
final_results,burgers1d,burgers_more_points,nu,0.002,0.048778716474771444,0.046523612511057855,2,2,467.52426171302795,670.5011596679688,0.05046572536230085,0.0504671326492033,0.9537686899801896,1.0000278859937581,similar,True,True,burgers1d nu=0.002 | final_results
burgers_long_lbfgs,burgers1d,adam3000_lbfgs5000_inner5_resample200,nu,0.005,0.0478018335998058,0.0519076759178343,1,1,694.5072250366211,5001.841319561005,0.0520223304629325,0.05205925036943,1.0858929879636496,1.0007096934368176,similar,True,True,burgers1d nu=0.005 | burgers_long_lbfgs
final_results,convection1d,convection_beta30_lbfgs_grid,beta,30.0,0.010941238608211251,0.0066253707376576505,2,2,473.15411031246185,450.42433869838715,0.010941238608211251,0.0067104882830644995,0.605541198295904,0.6133207147158247,fp64 better,True,True,convection1d beta=30.0 | final_results
heat1d_precision,heat1d,heat1d_precision,alpha,0.1,0.00039682135199346666,0.00047251183252939997,3,3,89.41172965367635,164.38523284594217,0.00039682135199346666,0.00047251183252939997,1.1907419551788119,1.1907419551788119,similar,True,True,heat1d alpha=0.1 | heat1d_precision
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,7.0,0.00134821725077925,0.0005143762736539,2,2,180.76559722423553,162.1159429550171,0.00134821725077925,0.0006123307090868,0.3815232844384671,0.45417807013883094,fp64 better,True,True,helmholtz1d m=7.0 | helmholtz_resample_sweep
final_results,helmholtz1d,helmholtz_resample_long,m,8.0,0.00324988248758015,0.11544944453359139,2,2,131.20890057086945,124.9479467868805,0.00324988248758015,0.1154495590752659,35.52419048220867,35.5242257270752,fp32 better,True,True,helmholtz1d m=8.0 | final_results
helmholtz_large_lbfgs,helmholtz1d,resample_proven_128,m,8.0,0.0022322519216686,0.0010758262542644,1,1,127.70034313201904,128.07416677474976,0.0022322519216686,0.0010758262542644,0.4819466135615301,0.4819466135615301,fp64 better,True,True,helmholtz1d m=8.0 | helmholtz_large_lbfgs
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,8.0,0.00253584620077155,0.0010388794492335,2,2,180.95676386356354,160.20279967784882,0.0029006302356719502,0.0013596944451696,0.4096776251325546,0.46875828171687584,fp64 better,True,True,helmholtz1d m=8.0 | helmholtz_resample_sweep
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,9.0,0.0010594721825327,0.0009256147461689001,2,2,169.53429782390594,160.1876151561737,0.00280199162079945,0.0009788113212761,0.8736564880412342,0.34932699798610767,similar,True,True,helmholtz1d m=9.0 | helmholtz_resample_sweep
helmholtz_inner10,helmholtz1d,width192_adam2e4_lbfgs1_steps1000_inner10_resample250,m,10.0,0.0010800919262692,0.0004881865048243,1,1,239.82848525047305,2334.76327753067,0.0010800919262692,0.0008971112197284,0.45198606984367484,0.8305878397102338,fp64 better,True,True,helmholtz1d m=10.0 | helmholtz_inner10
helmholtz_inner10,helmholtz1d,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,m,10.0,0.0035879830829799,0.0004545846478039,1,1,217.91756987571716,2348.976495027542,0.0035879830829799,0.0004545846478039,0.12669643008081222,0.12669643008081222,fp64 better,True,True,helmholtz1d m=10.0 | helmholtz_inner10
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,10.0,0.001598153845407,0.0030036022583295003,2,2,165.1881147623062,159.11348342895508,0.00271258503198615,0.0030352970511956,1.8794199738414898,1.1189684435341594,fp32 better,True,True,helmholtz1d m=10.0 | helmholtz_resample_sweep
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,11.0,0.0019056165474466498,0.0009833265862458501,2,2,159.5158863067627,159.23703587055206,0.00537186005385585,0.0016846044351573998,0.5160149283775988,0.3135979750530197,fp64 better,True,True,helmholtz1d m=11.0 | helmholtz_resample_sweep
final_results,helmholtz1d,helmholtz_resample_long,m,12.0,0.012530514737591099,0.0021135880520116,2,2,141.17965424060822,141.01174306869507,0.012530514737591099,0.0025480609936873,0.1686752776141678,0.203348469480125,fp64 better,True,True,helmholtz1d m=12.0 | final_results
helmholtz_inner10,helmholtz1d,width128_adam1e4_lbfgs1_steps1000_inner10_resample250,m,12.0,0.0136220986023545,0.0003458913456201,1,1,190.59286975860596,1219.9605793952942,0.0136220986023545,0.0006440133369841,0.025391927904582536,0.04727710140585725,fp64 better,True,True,helmholtz1d m=12.0 | helmholtz_inner10
helmholtz_inner10,helmholtz1d,width128_adam5e4_lbfgs05_steps1000_inner10_resample250,m,12.0,0.0041363453492522,0.0001698858408164,1,1,180.58161401748657,962.5384855270386,0.0041363453492522,0.0004848110103655,0.041071483754883585,0.11720757563271351,fp64 better,True,True,helmholtz1d m=12.0 | helmholtz_inner10
helmholtz_inner10,helmholtz1d,width128_adam5e4_lbfgs1_steps1000_inner10_resample250,m,12.0,0.0192516539245843,0.001540316022811,1,1,171.96420979499817,1111.5089881420135,0.0192516539245843,0.0022187468437881,0.08000954249671097,0.1152496742607017,fp64 better,True,True,helmholtz1d m=12.0 | helmholtz_inner10
helmholtz_large_lbfgs,helmholtz1d,resample_proven_128,m,12.0,0.0186685994267463,0.0030846842445477,1,1,139.69180274009705,139.5144064426422,0.0186685994267463,0.0030846842445477,0.16523383324237526,0.16523383324237526,fp64 better,True,True,helmholtz1d m=12.0 | helmholtz_large_lbfgs
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,12.0,0.0021599326282738997,0.000833988761593,2,2,160.3744934797287,161.2812647819519,0.0040075735887512,0.00184614829321275,0.386117951400863,0.46066485176833105,fp64 better,True,True,helmholtz1d m=12.0 | helmholtz_resample_sweep
