run_id,variant,task_name,m,dtype,seed,adam_steps_config,lbfgs_steps_config,resample_every,lbfgs_lr,n_collocation,hard_bc,bc_weight,final_loss,final_l2_error,best_l2_error,best_step,l2_ratio,time_sec,log_dir
1,base_2k,helmholtz1d,8,fp32,0,2000,1500,0,0.1,5000,False,1.0,3.2332320643035928e-06,0.012068157084286213,0.008042032830417156,3300,1.5006351427267444,74.83208966255188,/kaggle/working/runs/overnight_r001_m8_base_2k_fp32_s0
2,base_2k,helmholtz1d,8,fp32,1,2000,1500,0,0.1,5000,False,1.0,1.0291999387845863e-05,0.0025971271097660065,0.0025971271097660065,3500,1.0,66.4376769065857,/kaggle/working/runs/overnight_r002_m8_base_2k_fp32_s1
3,base_2k,helmholtz1d,8,fp64,0,2000,1500,0,0.1,5000,False,1.0,0.2138212678878202,1.8400437865217492,0.9997622799937325,100,1.8404813057492873,186.95729279518127,/kaggle/working/runs/overnight_r003_m8_base_2k_fp64_s0
4,base_2k,helmholtz1d,8,fp64,1,2000,1500,0,0.1,5000,False,1.0,2.4208301553753554e-06,0.0018673380612527339,0.001331633562428918,3000,1.4022912263090483,205.3513481616974,/kaggle/working/runs/overnight_r004_m8_base_2k_fp64_s1
5,resample_2k,helmholtz1d,8,fp32,0,2000,1500,200,0.1,5000,False,1.0,0.3252286911010742,1.1427216529846191,0.997715950012207,1600,1.1453376614562871,46.01609134674072,/kaggle/working/runs/overnight_r005_m8_resample_2k_fp32_s0
6,resample_2k,helmholtz1d,8,fp32,1,2000,1500,200,0.1,5000,False,1.0,2.2383198938769056e-06,0.0021392686758190393,0.001877548056654632,3300,1.1393948976361938,66.68256115913391,/kaggle/working/runs/overnight_r006_m8_resample_2k_fp32_s1
7,resample_2k,helmholtz1d,8,fp64,0,2000,1500,200,0.1,5000,False,1.0,0.23622469861077391,1.3828068535148959,0.9270554297052566,1400,1.491611838090996,186.42975902557373,/kaggle/working/runs/overnight_r007_m8_resample_2k_fp64_s0
8,resample_2k,helmholtz1d,8,fp64,1,2000,1500,200,0.1,5000,False,1.0,0.3149014105438694,1.141842731384254,1.0041296372441544,200,1.1371467279046308,186.29968667030334,/kaggle/working/runs/overnight_r008_m8_resample_2k_fp64_s1
9,resample_5k,helmholtz1d,8,fp32,0,5000,1500,200,0.1,5000,False,1.0,0.0010875480948016047,2.4742441177368164,0.8229723572731018,3500,3.006472934200563,71.7857038974762,/kaggle/working/runs/overnight_r009_m8_resample_5k_fp32_s0
10,resample_5k,helmholtz1d,8,fp32,1,5000,1500,200,0.1,5000,False,1.0,1.4606625882152002e-05,0.016313130035996437,0.016313130035996437,5500,1.0,92.60708165168762,/kaggle/working/runs/overnight_r010_m8_resample_5k_fp32_s1
11,resample_5k,helmholtz1d,8,fp64,0,5000,1500,200,0.1,5000,False,1.0,0.00023297562641035443,1.0901146465550076,0.8333270916880886,3200,1.3081473738562115,298.8811297416687,/kaggle/working/runs/overnight_r011_m8_resample_5k_fp64_s0
12,resample_5k,helmholtz1d,8,fp64,1,5000,1500,200,0.1,5000,False,1.0,0.0005385502376464534,1.9369559290459486,0.8380746787159169,2800,2.311197293317247,298.9979169368744,/kaggle/working/runs/overnight_r012_m8_resample_5k_fp64_s1
13,soft_lbfgs,helmholtz1d,8,fp32,0,5000,1500,200,0.03,5000,False,1.0,0.0010875480948016047,2.4742441177368164,0.8229723572731018,3500,3.006472934200563,74.06756567955017,/kaggle/working/runs/overnight_r013_m8_soft_lbfgs_fp32_s0
14,soft_lbfgs,helmholtz1d,8,fp32,1,5000,1500,200,0.03,5000,False,1.0,3.3410865398764145e-06,0.010873809456825256,0.00564082944765687,6000,1.9276969030400486,94.84017825126648,/kaggle/working/runs/overnight_r014_m8_soft_lbfgs_fp32_s1
15,soft_lbfgs,helmholtz1d,8,fp64,0,5000,1500,200,0.03,5000,False,1.0,0.00023297562641035443,1.0901146465550076,0.8333270916880886,3200,1.3081473738562115,299.59818291664124,/kaggle/working/runs/overnight_r015_m8_soft_lbfgs_fp64_s0
16,soft_lbfgs,helmholtz1d,8,fp64,1,5000,1500,200,0.03,5000,False,1.0,0.0005385502376464534,1.9369559290459486,0.8380746787159169,2800,2.311197293317247,300.56510162353516,/kaggle/working/runs/overnight_r016_m8_soft_lbfgs_fp64_s1
17,softer_lbfgs,helmholtz1d,8,fp32,0,5000,1500,200,0.01,5000,False,1.0,0.0010875480948016047,2.4742441177368164,0.8229723572731018,3500,3.006472934200563,79.57745265960693,/kaggle/working/runs/overnight_r017_m8_softer_lbfgs_fp32_s0
18,softer_lbfgs,helmholtz1d,8,fp32,1,5000,1500,200,0.01,5000,False,1.0,7.0102382778713945e-06,0.010754051618278027,0.010754051618278027,6500,1.0,100.64205622673035,/kaggle/working/runs/overnight_r018_m8_softer_lbfgs_fp32_s1
19,softer_lbfgs,helmholtz1d,8,fp64,0,5000,1500,200,0.01,5000,False,1.0,0.00023297562641035443,1.0901146465550076,0.8333270916880886,3200,1.3081473738562115,300.0806374549866,/kaggle/working/runs/overnight_r019_m8_softer_lbfgs_fp64_s0
20,softer_lbfgs,helmholtz1d,8,fp64,1,5000,1500,200,0.01,5000,False,1.0,0.0005283205369004862,1.9365540211792955,0.8380746787159169,2800,2.3107177323940262,298.31685733795166,/kaggle/working/runs/overnight_r020_m8_softer_lbfgs_fp64_s1
21,adam_only,helmholtz1d,8,fp32,0,10000,0,200,0.03,5000,False,1.0,2.959649464173708e-05,0.43642210960388184,0.30613407492637634,9300,1.4255914167961834,87.73394465446472,/kaggle/working/runs/overnight_r021_m8_adam_only_fp32_s0
22,adam_only,helmholtz1d,8,fp32,1,10000,0,200,0.03,5000,False,1.0,1.8874956367653795e-05,0.30633434653282166,0.1933128833770752,9700,1.5846556172631667,87.61655282974243,/kaggle/working/runs/overnight_r022_m8_adam_only_fp32_s1
23,adam_only,helmholtz1d,8,fp64,0,10000,0,200,0.03,5000,False,1.0,9.01458884823825e-06,0.17527748757229158,0.14590996191387634,9100,1.201271560030627,371.01694560050964,/kaggle/working/runs/overnight_r023_m8_adam_only_fp64_s0
24,adam_only,helmholtz1d,8,fp64,1,10000,0,200,0.03,5000,False,1.0,0.0006371322810485996,0.32434131902644886,0.2153487250776384,9700,1.506121380145232,371.2049810886383,/kaggle/working/runs/overnight_r024_m8_adam_only_fp64_s1
25,resample_100_soft,helmholtz1d,8,fp32,0,5000,1500,100,0.03,5000,False,1.0,3.5903567550121807e-06,0.0031260228715837,0.0031260228715837,6100,1.0,95.20470190048218,/kaggle/working/runs/overnight_r025_m8_resample_100_soft_fp32_s0
26,resample_100_soft,helmholtz1d,8,fp32,1,5000,1500,100,0.03,5000,False,1.0,0.00021538118016906083,1.1563693284988403,0.9653602838516235,3100,1.1978629614687721,73.62796258926392,/kaggle/working/runs/overnight_r026_m8_resample_100_soft_fp32_s1
27,resample_100_soft,helmholtz1d,8,fp64,0,5000,1500,100,0.03,5000,False,1.0,3.948393277256717e-06,0.0035948160413588827,0.002518884204677289,6200,1.42714620810425,317.22366857528687,/kaggle/working/runs/overnight_r027_m8_resample_100_soft_fp64_s0
28,resample_100_soft,helmholtz1d,8,fp64,1,5000,1500,100,0.03,5000,False,1.0,0.0002625885715670393,1.2074953250370923,0.7105600221579664,3300,1.699357249750607,298.99615263938904,/kaggle/working/runs/overnight_r028_m8_resample_100_soft_fp64_s1
29,more_points_soft,helmholtz1d,8,fp32,0,5000,1000,200,0.03,10000,False,1.0,1.3884848158340901e-05,0.042138513177633286,0.015338431112468243,5400,2.7472505413790267,108.6827609539032,/kaggle/working/runs/overnight_r029_m8_more_points_soft_fp32_s0
30,more_points_soft,helmholtz1d,8,fp32,1,5000,1000,200,0.03,10000,False,1.0,3.078212102991529e-06,0.006708366330713034,0.0030395030044019222,5600,2.207060273010991,109.4965307712555,/kaggle/working/runs/overnight_r030_m8_more_points_soft_fp32_s1
31,more_points_soft,helmholtz1d,8,fp64,0,5000,1000,200,0.03,10000,False,1.0,1.5286776513871913e-05,0.04323382884373471,0.039996222407582,5400,1.0809478055992348,520.985524892807,/kaggle/working/runs/overnight_r031_m8_more_points_soft_fp64_s0
32,more_points_soft,helmholtz1d,8,fp64,1,5000,1000,200,0.03,10000,False,1.0,7.172870186547397e-06,0.007903337591080846,0.007903337591080846,5800,1.0,521.1709520816803,/kaggle/working/runs/overnight_r032_m8_more_points_soft_fp64_s1
33,base_2k,helmholtz1d,9,fp32,0,2000,1500,0,0.1,5000,False,1.0,0.004228903912007809,6.16108512878418,0.9996959567070007,100,6.162958935113431,68.42951846122742,/kaggle/working/runs/overnight_r033_m9_base_2k_fp32_s0
34,base_2k,helmholtz1d,9,fp32,1,2000,1500,0,0.1,5000,False,1.0,3.671833110274747e-05,0.00758560374379158,0.00758560374379158,3400,1.0,69.48082661628723,/kaggle/working/runs/overnight_r034_m9_base_2k_fp32_s1
35,base_2k,helmholtz1d,9,fp64,0,2000,1500,0,0.1,5000,False,1.0,0.24218075750832374,1.9017532793005028,1.00001549583841,200,1.9017238104956349,187.44782829284668,/kaggle/working/runs/overnight_r035_m9_base_2k_fp64_s0
36,base_2k,helmholtz1d,9,fp64,1,2000,1500,0,0.1,5000,False,1.0,2.4672010610856252e-05,0.1563372631704687,0.1563372631704687,3500,1.0,207.23665356636047,/kaggle/working/runs/overnight_r036_m9_base_2k_fp64_s1
37,resample_2k,helmholtz1d,9,fp32,0,2000,1500,200,0.1,5000,False,1.0,0.4736327528953552,1.0826159715652466,0.9996959567070007,100,1.082945233800269,46.87364959716797,/kaggle/working/runs/overnight_r037_m9_resample_2k_fp32_s0
38,resample_2k,helmholtz1d,9,fp32,1,2000,1500,200,0.1,5000,False,1.0,0.00015533760597463697,0.8205289840698242,0.8205289840698242,3500,1.0,68.48916363716125,/kaggle/working/runs/overnight_r038_m9_resample_2k_fp32_s1
39,resample_2k,helmholtz1d,9,fp64,0,2000,1500,200,0.1,5000,False,1.0,0.24217035769485545,1.6225472182533676,1.00001549583841,200,1.6225220759134626,187.48697876930237,/kaggle/working/runs/overnight_r039_m9_resample_2k_fp64_s0
40,resample_2k,helmholtz1d,9,fp64,1,2000,1500,200,0.1,5000,False,1.0,2.781192945792915e-06,0.00211962207410095,0.00211962207410095,3500,1.0,207.14647698402405,/kaggle/working/runs/overnight_r040_m9_resample_2k_fp64_s1
41,resample_5k,helmholtz1d,9,fp32,0,5000,1500,200,0.1,5000,False,1.0,0.006811899598687887,4.570780277252197,0.6839715838432312,4700,6.682704932811707,74.32162642478943,/kaggle/working/runs/overnight_r041_m9_resample_5k_fp32_s0
42,resample_5k,helmholtz1d,9,fp32,1,5000,1500,200,0.1,5000,False,1.0,0.05494514852762222,0.6435003876686096,0.6435003876686096,5000,1.0,74.49358487129211,/kaggle/working/runs/overnight_r042_m9_resample_5k_fp32_s1
43,resample_5k,helmholtz1d,9,fp64,0,5000,1500,200,0.1,5000,False,1.0,0.0014417716805372794,4.156819996226934,0.6353126044504966,3600,6.542952189375038,298.757976770401,/kaggle/working/runs/overnight_r043_m9_resample_5k_fp64_s0
44,resample_5k,helmholtz1d,9,fp64,1,5000,1500,200,0.1,5000,False,1.0,0.06202277967092779,3.0711746223884324,0.9121917404924468,3800,3.366808189614235,299.0244171619415,/kaggle/working/runs/overnight_r044_m9_resample_5k_fp64_s1
45,soft_lbfgs,helmholtz1d,9,fp32,0,5000,1500,200,0.03,5000,False,1.0,5.205502475291723e-06,0.012747691944241524,0.012747691944241524,6000,1.0,95.7268614768982,/kaggle/working/runs/overnight_r045_m9_soft_lbfgs_fp32_s0
46,soft_lbfgs,helmholtz1d,9,fp32,1,5000,1500,200,0.03,5000,False,1.0,3.6871624615741894e-06,0.0033658454194664955,0.0033658454194664955,6500,1.0,97.28532552719116,/kaggle/working/runs/overnight_r046_m9_soft_lbfgs_fp32_s1
47,soft_lbfgs,helmholtz1d,9,fp64,0,5000,1500,200,0.03,5000,False,1.0,0.0014417716805372794,4.156819996226934,0.6353126044504966,3600,6.542952189375038,299.41475915908813,/kaggle/working/runs/overnight_r047_m9_soft_lbfgs_fp64_s0
48,soft_lbfgs,helmholtz1d,9,fp64,1,5000,1500,200,0.03,5000,False,1.0,0.06202277967092779,3.0711746223884324,0.9121917404924468,3800,3.366808189614235,299.05854392051697,/kaggle/working/runs/overnight_r048_m9_soft_lbfgs_fp64_s1
49,softer_lbfgs,helmholtz1d,9,fp32,0,5000,1500,200,0.01,5000,False,1.0,6.219166152732214e-06,0.021657677367329597,0.01612040400505066,5700,1.3434947015313055,99.02439546585083,/kaggle/working/runs/overnight_r049_m9_softer_lbfgs_fp32_s0
50,softer_lbfgs,helmholtz1d,9,fp32,1,5000,1500,200,0.01,5000,False,1.0,1.9619259546743706e-05,0.021560948342084885,0.021560948342084885,6500,1.0,98.67472219467163,/kaggle/working/runs/overnight_r050_m9_softer_lbfgs_fp32_s1
51,softer_lbfgs,helmholtz1d,9,fp64,0,5000,1500,200,0.01,5000,False,1.0,0.0014417716805372794,4.156819996226934,0.6353126044504966,3600,6.542952189375038,300.6068608760834,/kaggle/working/runs/overnight_r051_m9_softer_lbfgs_fp64_s0
52,softer_lbfgs,helmholtz1d,9,fp64,1,5000,1500,200,0.01,5000,False,1.0,3.669880830247449e-05,0.054865471137651764,0.0289336993317112,6400,1.896248056933372,319.6294672489166,/kaggle/working/runs/overnight_r052_m9_softer_lbfgs_fp64_s1
53,adam_only,helmholtz1d,9,fp32,0,10000,0,200,0.03,5000,False,1.0,4.742796954815276e-05,0.7741802930831909,0.5772601962089539,9800,1.3411288326606827,91.40557956695557,/kaggle/working/runs/overnight_r053_m9_adam_only_fp32_s0
54,adam_only,helmholtz1d,9,fp32,1,10000,0,200,0.03,5000,False,1.0,4.207579331705347e-05,0.6866531372070312,0.6435003876686096,5000,1.067059399443042,90.91020727157593,/kaggle/working/runs/overnight_r054_m9_adam_only_fp32_s1
55,adam_only,helmholtz1d,9,fp64,0,10000,0,200,0.03,5000,False,1.0,1.7346076515129925e-05,0.4588085365146782,0.3718786383536135,9400,1.23375878363415,373.1569244861603,/kaggle/working/runs/overnight_r055_m9_adam_only_fp64_s0
56,adam_only,helmholtz1d,9,fp64,1,10000,0,200,0.03,5000,False,1.0,7.143592835389304e-05,0.9683161111806229,0.6332302040200859,9900,1.5291691789703514,372.0667715072632,/kaggle/working/runs/overnight_r056_m9_adam_only_fp64_s1
57,resample_100_soft,helmholtz1d,9,fp32,0,5000,1500,100,0.03,5000,False,1.0,0.0029785693623125553,4.969043731689453,0.7737687826156616,4200,6.421871550428812,73.82931613922119,/kaggle/working/runs/overnight_r057_m9_resample_100_soft_fp32_s0
58,resample_100_soft,helmholtz1d,9,fp32,1,5000,1500,100,0.03,5000,False,1.0,0.0691278725862503,1.4011738300323486,0.9596766829490662,3600,1.460047800397287,73.87414026260376,/kaggle/working/runs/overnight_r058_m9_resample_100_soft_fp32_s1
59,resample_100_soft,helmholtz1d,9,fp64,0,5000,1500,100,0.03,5000,False,1.0,0.0014517042491159243,4.123975966489942,0.7436987930677257,3600,5.545223422346456,298.88432574272156,/kaggle/working/runs/overnight_r059_m9_resample_100_soft_fp64_s0
60,resample_100_soft,helmholtz1d,9,fp64,1,5000,1500,100,0.03,5000,False,1.0,5.72627325282734e-06,0.03319250895902854,0.027685511852304424,5800,1.1989125986220746,319.73271584510803,/kaggle/working/runs/overnight_r060_m9_resample_100_soft_fp64_s1
61,more_points_soft,helmholtz1d,9,fp32,0,5000,1000,200,0.03,10000,False,1.0,5.626692654914223e-06,0.001650310237891972,0.001650310237891972,6000,1.0,110.46640133857727,/kaggle/working/runs/overnight_r061_m9_more_points_soft_fp32_s0
62,more_points_soft,helmholtz1d,9,fp32,1,5000,1000,200,0.03,10000,False,1.0,0.004209151025861502,5.720508098602295,0.6416364908218384,3900,8.915496827923857,95.93834710121155,/kaggle/working/runs/overnight_r062_m9_more_points_soft_fp32_s1
63,more_points_soft,helmholtz1d,9,fp64,0,5000,1000,200,0.03,10000,False,1.0,7.166507188072259e-06,0.06935418117614517,0.0033133436255883193,5700,20.931780404705414,521.8208248615265,/kaggle/working/runs/overnight_r063_m9_more_points_soft_fp64_s0
64,more_points_soft,helmholtz1d,9,fp64,1,5000,1000,200,0.03,10000,False,1.0,0.010362515080966023,3.5208223786833424,0.5932518206512792,4600,5.934785627489756,509.011177778244,/kaggle/working/runs/overnight_r064_m9_more_points_soft_fp64_s1
65,base_2k,helmholtz1d,10,fp32,0,2000,1500,0,0.1,5000,False,1.0,0.45301181077957153,1.264387607574463,1.0000450611114502,500,1.26433063543079,73.28624844551086,/kaggle/working/runs/overnight_r065_m10_base_2k_fp32_s0
66,base_2k,helmholtz1d,10,fp32,1,2000,1500,0,0.1,5000,False,1.0,0.47211354970932007,1.1115736961364746,0.9999876618385315,300,1.111587411081439,49.07526135444641,/kaggle/working/runs/overnight_r066_m10_base_2k_fp32_s1
67,base_2k,helmholtz1d,10,fp64,0,2000,1500,0,0.1,5000,False,1.0,0.3382310608652829,1.2556127142120903,0.9737688172987262,1700,1.2894361494293998,187.98832893371582,/kaggle/working/runs/overnight_r067_m10_base_2k_fp64_s0
68,base_2k,helmholtz1d,10,fp64,1,2000,1500,0,0.1,5000,False,1.0,0.5042370544650832,1.0041281942813411,1.0038609526900264,900,1.0002662137526104,187.50495982170105,/kaggle/working/runs/overnight_r068_m10_base_2k_fp64_s1
69,resample_2k,helmholtz1d,10,fp32,0,2000,1500,200,0.1,5000,False,1.0,0.011191490106284618,9.174257278442383,0.9260425567626953,2600,9.906949968383957,71.54092764854431,/kaggle/working/runs/overnight_r069_m10_resample_2k_fp32_s0
70,resample_2k,helmholtz1d,10,fp32,1,2000,1500,200,0.1,5000,False,1.0,6.459535507019609e-05,0.5031043291091919,0.5031043291091919,3500,1.0,70.04155707359314,/kaggle/working/runs/overnight_r070_m10_resample_2k_fp32_s1
71,resample_2k,helmholtz1d,10,fp64,0,2000,1500,200,0.1,5000,False,1.0,0.051695108221622356,6.568228598128612,0.9640224278720806,1400,6.813356627632498,206.74586725234985,/kaggle/working/runs/overnight_r071_m10_resample_2k_fp64_s0
72,resample_2k,helmholtz1d,10,fp64,1,2000,1500,200,0.1,5000,False,1.0,0.49737181836854505,1.0760446586345296,1.0043396010111931,400,1.0713952308075296,186.69948053359985,/kaggle/working/runs/overnight_r072_m10_resample_2k_fp64_s1
73,resample_5k,helmholtz1d,10,fp32,0,5000,1500,200,0.1,5000,False,1.0,0.10738503187894821,1.95708429813385,0.8018308877944946,4500,2.440769404028548,73.58309578895569,/kaggle/working/runs/overnight_r073_m10_resample_5k_fp32_s0
74,resample_5k,helmholtz1d,10,fp32,1,5000,1500,200,0.1,5000,False,1.0,0.07067050039768219,0.9771439433097839,0.8892391324043274,3900,1.0988539614397976,73.36766934394836,/kaggle/working/runs/overnight_r074_m10_resample_5k_fp32_s1
75,resample_5k,helmholtz1d,10,fp64,0,5000,1500,200,0.1,5000,False,1.0,0.10125856907687618,0.817709428273021,0.817709428273021,5000,1.0,298.3703784942627,/kaggle/working/runs/overnight_r075_m10_resample_5k_fp64_s0
76,resample_5k,helmholtz1d,10,fp64,1,5000,1500,200,0.1,5000,False,1.0,7.2876804969204666e-06,0.06379096748942276,0.03620624923017141,5700,1.761877268310478,317.5021274089813,/kaggle/working/runs/overnight_r076_m10_resample_5k_fp64_s1
77,soft_lbfgs,helmholtz1d,10,fp32,0,5000,1500,200,0.03,5000,False,1.0,4.840284964302555e-05,0.06182241439819336,0.04766320437192917,6400,1.2970679418818751,94.35523986816406,/kaggle/working/runs/overnight_r077_m10_soft_lbfgs_fp32_s0
78,soft_lbfgs,helmholtz1d,10,fp32,1,5000,1500,200,0.03,5000,False,1.0,0.07067050039768219,0.9771439433097839,0.8892391324043274,3900,1.0988539614397976,73.52356696128845,/kaggle/working/runs/overnight_r078_m10_soft_lbfgs_fp32_s1
79,soft_lbfgs,helmholtz1d,10,fp64,0,5000,1500,200,0.03,5000,False,1.0,7.116695628491924e-06,0.04444731825030154,0.04444731825030154,6500,1.0,317.29105377197266,/kaggle/working/runs/overnight_r079_m10_soft_lbfgs_fp64_s0
80,soft_lbfgs,helmholtz1d,10,fp64,1,5000,1500,200,0.03,5000,False,1.0,4.846539047457578e-06,0.03330685773947332,0.006476902982855186,6200,5.14240491599749,317.88416028022766,/kaggle/working/runs/overnight_r080_m10_soft_lbfgs_fp64_s1
